car name,engine_capacity,cylinder,horse_power,top_speed,seats,price_in_usd
Fiat 500e 2021 La Prima,0.0,4.0,255.0,211.0,5.0,47106.8754254595
Peugeot Traveller 2021 L3 VIP,2.0,4.0,180.0,211.0,8.0,37486.666666666664
Suzuki Jimny 2021 1.5L Automatic,1.5,4.0,102.0,145.0,4.0,26342.666666666668
Ford Bronco 2021 2.3T Big Bend,2.3,4.0,420.0,211.0,7.0,52800.0
Honda HR-V 2021 1.8 i-VTEC LX,1.8,4.0,140.0,190.0,5.0,47106.8754254595
Honda HR-V 2021 1.8 i-VTEC EX,1.8,4.0,140.0,190.0,5.0,25422.666666666668
Peugeot Expert 2021 Van L3 A/T,2.0,4.0,120.0,170.0,5.0,22092.0
Peugeot Expert 2021 Van L3 M/T,2.0,4.0,120.0,170.0,5.0,20412.0
Renault Koleos 2021 2.5L LE (4WD),2.5,4.0,170.0,199.0,5.0,31173.333333333332
Ford Bronco 2021 2.7T Outer Banks,2.7,6.0,542.0,211.0,6.0,63466.666666666664
Suzuki Jimny 2021 1.5L M/T,1.5,4.0,102.0,145.0,4.0,24502.666666666668
Honda HR-V 2021 1.8 i-VTEC DX,1.8,4.0,140.0,190.0,5.0,19289.333333333332
Aston Martin DBS Superleggera Volante 2021 5.2T V12,5.2,12.0,900.0,211.0,3.0,47106.8754254595
GAC GS8 2021 2.0T GL (2WD),2.0,4.0,198.0,200.0,7.0,29737.333333333332
Aston Martin DB11 AMR 2021 5.2T V12,5.2,12.0,700.0,211.0,3.0,292173.3333333333
GAC GS4 2021 1.5T GE,1.5,4.0,152.0,180.0,5.0,19596.0
Toyota Highlander 2021 2.5L Hybrid GLE (AWD),2.5,4.0,255.0,211.0,7.0,47106.8754254595
Aston Martin DB11 2021 4.0T V8 Volante,4.0,8.0,503.0,322.0,4.0,278260.5333333333
Toyota Highlander 2021 2.5L Hybrid LE (FWD),2.5,4.0,255.0,211.0,7.0,47106.8754254595
Toyota Highlander 2021 2.5L Hybrid Limited (FWD),2.5,4.0,255.0,211.0,7.0,47817.066666666666
Aston Martin DBS Superleggera 2021 5.2T V12,5.2,12.0,900.0,211.0,3.0,369723.2
GAC GS4 2021 1.5T GS,1.5,4.0,152.0,180.0,5.0,17173.333333333332
Genesis GV80 2021 3.5T Royal (AWD),3.5,6.0,530.0,211.0,5.0,47106.8754254595
Toyota Highlander 2021 2.5L Hybrid Limited (AWD),2.5,4.0,255.0,211.0,7.0,49925.333333333336
Aston Martin DB11 2021 4.0T V8 Coupe,4.0,8.0,503.0,300.0,4.0,256900.0
Hyundai Palisade 2021 3.8L GDi (AWD) Premium - Nappa,3.8,6.0,355.0,211.0,7.0,53386.666666666664
Toyota Corolla 2021 1.6L XLI Executive,1.6,4.0,121.0,190.0,5.0,20826.933333333334
Toyota Corolla 2021 1.6L GLI,1.6,4.0,121.0,190.0,5.0,20407.2
Toyota Corolla 2021 1.6L XLI,1.6,4.0,121.0,190.0,5.0,19885.866666666665
Toyota Corolla 2021 1.6L XLI Executive Moonroof,1.6,4.0,121.0,190.0,5.0,21768.266666666666
